requested_lag_ms,mean_mean,mean_sem,precision_mean,precision_sem,minvar_mean,minvar_sem
-2000,0.07729156812032063,0.002277768461698487,0.05713771656155586,0.007080876095612217,0.03763619934519132,0.0026391171848135797
-1000,0.08621019124984741,0.0016487835675607317,0.06869906187057495,0.008075649567679304,0.04997750371694565,0.0023835361250451595
-500,0.17742484311262766,0.00601569241645862,0.1407090649008751,0.014163147261418723,0.07617723445097606,0.01279259691189353
0,0.3176466425259908,0.022399484313194752,0.2123116006453832,0.012118692688410255,0.1700270821650823,0.0160836589170623
100,0.3241451183954875,0.01155406475821907,0.22294703125953674,0.023963902347006658,0.13176420331001282,0.00853389562912208
200,0.3064120610555013,0.019033899753646638,0.18242091437180838,0.014531590416655164,0.15150697529315948,0.026247342382159485
300,0.3018063008785248,0.00762517858846072,0.22192482153574625,0.02298647341708423,0.14910810689131418,0.011178273256490413
500,0.24899454414844513,0.0016231304470909515,0.19669538736343384,0.011085506572264411,0.09429769963026047,0.012018736364923231
1000,0.15965983271598816,0.005449829140809559,0.13028416534264883,0.00500198661352093,0.06809689352909724,0.009184053010784397
1500,0.10017881045738856,0.00545694627623474,0.0631751927236716,0.007333864144872709,0.037164165948828064,0.00984164308283237
1800,0.07312797258297603,0.006940435327031611,0.05284948771198591,0.008168539063036792,0.02901531072954337,0.010282495208674199
