requested_lag_ms,mean,precision,minvar
-2000,0.07283291965723038,0.06272862106561661,0.04260331764817238
-1000,0.08391910791397095,0.055599428713321686,0.05470549315214157
-500,0.18578751385211945,0.1686822474002838,0.10160376876592636
0,0.2961476445198059,0.19345521926879883,0.1723402738571167
100,0.3040311932563782,0.17501983046531677,0.12032873928546906
200,0.34249648451805115,0.20860321819782257,0.19086557626724243
300,0.3026360869407654,0.2215273678302765,0.15139251947402954
500,0.24730487167835236,0.17696066200733185,0.11614225804805756
1000,0.1573275774717331,0.1355736255645752,0.06700552999973297
1500,0.09875960648059845,0.05146748945116997,0.0364525206387043
1800,0.08287818729877472,0.0570070743560791,0.04468977451324463
